Time_21.5,Disturbance_Time,CME_V,lon,lat,Ang_rad,V_max
2023-02-11 11:12:00,2023-02-13 17:02:00,1700,-12,26,27,391.6666666666667
2023-02-24 20:36:00,2023-02-26 18:43:00,1323,19,29,36,831.3333333333334
2023-03-13 10:53:00,2023-03-15 03:48:00,1334,24,27,31,548.3333333333334
2023-03-20 02:41:00,2023-03-23 09:10:00,602,23,-35,29,495.6666666666667
2023-03-20 14:42:00,2023-03-23 09:10:00,815,-28,17,35,495.6666666666667
2023-04-21 18:12:00,2023-04-23 17:00:00,1081,16,-23,39,670.3333333333334
2023-05-05 08:12:00,2023-05-07 13:20:00,950,7,-10,42,497.3333333333333
2023-05-09 19:00:00,2023-05-12 05:48:00,1450,7,1,47,557.6666666666666
2023-07-10 04:00:00,2023-07-13 15:49:00,900,37,-17,35,372.0
2023-07-11 19:24:00,2023-07-14 15:55:00,870,-12,-32,39,425.6666666666667
2023-07-17 23:36:00,2023-07-20 16:07:00,1638,32,-14,30,416.6666666666667
2023-07-18 20:12:00,2023-07-21 19:25:00,1200,-31,29,34,414.6666666666667
2023-08-05 07:12:00,2023-08-07 11:07:00,1020,47,-10,47,607.6666666666666
2023-09-14 07:24:00,2023-09-17 01:53:00,830,17,20,32,481.6666666666667
2023-09-22 02:24:00,2023-09-24 19:52:00,1225,-24,28,38,481.0
2023-10-16 12:09:00,2023-10-20 07:30:00,680,-46,14,36,372.3333333333333
2023-11-02 03:36:00,2023-11-05 08:10:00,648,-12,41,41,555.0
2023-11-16 03:48:00,2023-11-20 09:49:00,400,15,15,37,342.3333333333333
2023-11-27 23:48:00,2023-11-30 23:29:00,1040,-30,35,34,523.3333333333334
2023-12-14 17:38:00,2023-12-17 07:32:00,974,44,-17,50,525.0
2023-12-16 01:48:00,2023-12-20 00:26:00,341,0,-18,20,561.0
2023-12-24 13:25:00,2023-12-27 08:26:00,850,2,39,32,437.6666666666667
2023-12-25 09:38:00,2023-12-29 11:34:00,538,-1,-2,28,384.6666666666667
2023-12-31 22:00:00,2024-01-03 14:19:00,1500,-53,-3,59,475.3333333333333
2024-01-20 09:24:00,2024-01-22 16:01:00,944,-20,-15,40,457.6666666666667
2024-01-29 19:48:00,2024-02-01 05:18:00,1150,56,0,45,432.3333333333333
2024-02-10 07:00:00,2024-02-13 01:38:00,930,7,-42,39,458.0
2024-03-17 03:12:00,2024-03-21 01:50:00,685,-7,-34,23,374.0
2024-03-17 03:36:00,2024-03-21 01:50:00,460,15,-24,23,374.0
2024-04-12 02:00:00,2024-04-16 09:20:00,670,2,-14,39,379.3333333333333
2024-04-14 11:12:00,2024-04-17 08:55:00,680,-25,4,38,417.6666666666667
2024-04-15 06:48:00,2024-04-19 04:53:00,640,-10,12,35,484.0
